descriptor	min_depth	max_depth	n_tree_locations
(4-(m-Chlorophenylcarbamoyloxy)-2-butynyl)trimethylammonium Chloride	4	5	3
1,2-Dihydroxybenzene-3,5-Disulfonic Acid Disodium Salt	7	8	3
1,2-Dimethylhydrazine	5	5	1
1,2-Dipalmitoylphosphatidylcholine	8	8	1
1,4-alpha-Glucan Branching Enzyme	7	7	1
1-(5-Isoquinolinesulfonyl)-2-Methylpiperazine	4	5	3
1-Acylglycerol-3-Phosphate O-Acyltransferase	5	5	1
1-Acylglycerophosphocholine O-Acyltransferase	5	5	1
1-Alkyl-2-acetylglycerophosphocholine Esterase	9	9	1
1-Butanol	4	5	2
1-Carboxyglutamic Acid	5	5	3
1-Deoxynojirimycin	3	5	4
1-Methyl-3-isobutylxanthine	8	8	1
1-Methyl-4-phenyl-1,2,3,6-tetrahydropyridine	4	4	1
1-Methyl-4-phenylpyridinium	5	5	1
1-Naphthylamine	3	7	3
1-Naphthylisothiocyanate	4	7	4
1-Octanol	4	5	2
1-Phosphatidylinositol 4-Kinase	6	6	1
1-Propanol	4	4	1
1-Pyrroline-5-Carboxylate Dehydrogenase	5	5	1
1-Sarcosine-8-Isoleucine Angiotensin II	6	6	2
11-beta-Hydroxysteroid Dehydrogenase Type 1	7	7	2
11-beta-Hydroxysteroid Dehydrogenase Type 2	7	7	2
11-beta-Hydroxysteroid Dehydrogenases	6	6	2
11-Hydroxycorticosteroids	5	5	1
12-Hydroxy-5,8,10,14-eicosatetraenoic Acid	7	7	2
12E7 Antigen	5	6	4
14-3-3 Proteins	5	5	3
14-alpha Demethylase Inhibitors	5	7	4
15-Hydroxy-11 alpha,9 alpha-(epoxymethano)prosta-5,13-dienoic Acid	5	10	7
15-Oxoprostaglandin 13-Reductase	5	5	1
16,16-Dimethylprostaglandin E2	5	8	3
17 alpha-Hydroxyprogesterone Caproate	9	10	2
17-alpha-Hydroxypregnenolone	6	7	3
17-alpha-Hydroxyprogesterone	8	9	2
17-Hydroxycorticosteroids	5	5	1
17-Hydroxysteroid Dehydrogenases	6	6	1
17-Ketosteroids	4	5	2
18-Hydroxycorticosterone	6	8	2
18-Hydroxydesoxycorticosterone	6	8	2
19-Iodocholesterol	5	7	3
2',3'-Cyclic Nucleotide 3'-Phosphodiesterase	5	7	2
2',3'-Cyclic-Nucleotide Phosphodiesterases	6	6	1
2',5'-Oligoadenylate Synthetase	6	6	1
2,2'-Dipyridyl	4	4	1
2,3,4,5-Tetrahydro-7,8-dihydroxy-1-phenyl-1H-3-benzazepine	5	5	1
2,3-Diketogulonic Acid	3	5	3
2,3-Diphosphoglycerate	5	7	4
2,4,5-Trichlorophenoxyacetic Acid	6	7	2
2,4-Dichlorophenoxyacetic Acid	6	7	2
2,4-Dinitrophenol	5	9	2
2,6-Dichloroindophenol	8	8	1
2-Acetolactate Mutase	5	5	1
2-Acetylaminofluorene	4	7	4
2-Amino-5-phosphonovalerate	4	5	2
2-Aminoadipate Transaminase	6	6	1
2-Aminoadipic Acid	4	6	2
2-Aminopurine	6	6	1
2-Chloroadenosine	5	7	3
2-Hydroxy-5-nitrobenzyl Bromide	4	8	3
2-Hydroxyphenethylamine	5	5	4
2-Hydroxypropyl-beta-cyclodextrin	5	8	3
2-Isopropylmalate Synthase	5	5	1
2-Methoxyestradiol	7	7	2
2-Methyl-4-chlorophenoxyacetic Acid	6	7	2
2-Naphthylamine	3	7	3
2-Oxoisovalerate Dehydrogenase (Acylating)	6	6	1
2-Propanol	4	4	1
2-Pyridinylmethylsulfinylbenzimidazoles	4	5	3
20-alpha-Dihydroprogesterone	7	8	2
20-alpha-Hydroxysteroid Dehydrogenase	7	8	3
20-Hydroxysteroid Dehydrogenases	6	6	1
2019-nCoV Vaccine mRNA-1273	6	7	4
22q11 Deletion Syndrome	4	5	11
24,25-Dihydroxyvitamin D 3	7	9	4
25-Hydroxyvitamin D 2	5	7	4
25-Hydroxyvitamin D3 1-alpha-Hydroxylase	5	8	6
2H-Benzo(a)quinolizin-2-ol, 2-Ethyl-1,3,4,6,7,11b-hexahydro-3-isobutyl-9,10-dimethoxy-	5	5	1
2S Albumins, Plant	5	5	1
3' Flanking Region	6	7	2
3' Untranslated Regions	6	8	4
3',5'-Cyclic-AMP Phosphodiesterases	4	6	2
3',5'-Cyclic-GMP Phosphodiesterases	4	6	2
3,3'-Diaminobenzidine	8	8	1
3,3'-Dichlorobenzidine	8	8	1
3,4-Dichloro-N-methyl-N-(2-(1-pyrrolidinyl)-cyclohexyl)-benzeneacetamide, (trans)-Isomer	4	4	1
3,4-Dihydroxyphenylacetic Acid	5	5	1
3,4-Methylenedioxyamphetamine	6	6	1
3-alpha-Hydroxysteroid Dehydrogenase (B-Specific)	6	7	2
3-Deazauridine	5	6	3
3-Deoxy-7-Phosphoheptulonate Synthase	5	5	1
3-Hydroxyacyl CoA Dehydrogenases	6	6	1
3-Hydroxyacyl-CoA Dehydrogenase	7	7	1
3-Hydroxyanthranilate 3,4-Dioxygenase	6	6	1
3-Hydroxyanthranilic Acid	5	9	4
3-Hydroxybutyric Acid	4	6	4
3-Hydroxysteroid Dehydrogenases	6	6	1
3-Iodobenzylguanidine	4	7	3
3-Isopropylmalate Dehydrogenase	6	6	1
3-Mercaptopropionic Acid	4	5	2
3-Methoxy-4-hydroxyphenylethanol	8	8	1
3-Methyl-2-Oxobutanoate Dehydrogenase (Lipoamide)	6	6	1
3-O-Methylglucose	5	5	2
3-Oxo-5-alpha-Steroid 4-Dehydrogenase	5	5	1
3-Oxoacyl-(Acyl-Carrier-Protein) Reductase	6	6	1
3-Oxoacyl-(Acyl-Carrier-Protein) Synthase	5	5	1
3-Phosphoinositide-Dependent Protein Kinases	5	8	2
3-Phosphoshikimate 1-Carboxyvinyltransferase	5	5	1
3-Pyridinecarboxylic acid, 1,4-dihydro-2,6-dimethyl-5-nitro-4-(2-(trifluoromethyl)phenyl)-, Methyl ester	5	5	2
3C Viral Proteases	6	7	3
3T3 Cells	4	4	2
3T3-L1 Cells	6	6	2
4,4'-Diisothiocyanostilbene-2,2'-Disulfonic Acid	4	8	3
4,5-Dihydro-1-(3-(trifluoromethyl)phenyl)-1H-pyrazol-3-amine	5	5	1
4-(3-Butoxy-4-methoxybenzyl)-2-imidazolidinone	5	5	1
4-1BB Ligand	4	6	6
4-Acetamido-4'-isothiocyanatostilbene-2,2'-disulfonic Acid	4	8	3
4-Aminobenzoic Acid	7	9	2
4-Aminobutyrate Transaminase	6	6	1
4-Aminopyridine	4	5	2
4-Butyrolactone	3	4	2
4-Chloro-7-nitrobenzofurazan	6	6	1
4-Chloromercuribenzenesulfonate	5	8	3
4-Hydroxyaminoquinoline-1-oxide	4	6	3
4-Hydroxybenzoate-3-Monooxygenase	6	6	1
4-Hydroxycoumarins	6	6	2
4-Hydroxyphenylpyruvate Dioxygenase	6	6	1
4-Nitrophenylphosphatase	6	6	1
4-Nitroquinoline-1-oxide	4	6	3
4-Quinolones	6	6	1
46, XX Disorders of Sex Development	4	6	5
46, XX Testicular Disorders of Sex Development	5	7	5
5' Flanking Region	6	7	2
5' Untranslated Regions	6	8	4
5'-Nucleotidase	7	7	1
5,10-Methylenetetrahydrofolate Reductase (FADH2)	4	4	1
5,6-Dihydroxytryptamine	7	7	1
5,7-Dihydroxytryptamine	7	7	1
5,8,11,14-Eicosatetraynoic Acid	5	5	1
5-alpha Reductase Inhibitors	6	7	2
5-alpha-Dihydroprogesterone	6	7	2
5-Amino-3-((5-nitro-2-furyl)vinyl)-1,2,4-oxadiazole	4	6	3
5-Aminolevulinate Synthetase	5	5	1
5-Hydroxytryptophan	6	6	1
5-Lipoxygenase-Activating Protein Inhibitors	5	5	1
5-Lipoxygenase-Activating Proteins	4	5	3
5-Methoxypsoralen	5	7	3
5-Methoxytryptamine	7	7	2
5-Methylcytosine	6	6	1
5-Methyltetrahydrofolate-Homocysteine S-Methyltransferase	6	6	1
6-Aminonicotinamide	5	6	2
6-Cyano-7-nitroquinoxaline-2,3-dione	5	5	1
6-Ketoprostaglandin F1 alpha	5	7	3
6-Phytase	6	6	1
7,8-Dihydro-7,8-dihydroxybenzo(a)pyrene 9,10-oxide	6	9	2
7-Alkoxycoumarin O-Dealkylase	8	8	1
8,11,14-Eicosatrienoic Acid	5	5	1
8-Bromo Cyclic Adenosine Monophosphate	5	8	4
8-Hydroxy-2'-Deoxyguanosine	5	8	3
8-Hydroxy-2-(di-n-propylamino)tetralin	5	8	2
9,10-Dimethyl-1,2-benzanthracene	4	7	2
A Kinase Anchor Proteins	5	5	3
A549 Cells	3	5	3
AAA Domain	8	8	1
AAA Proteins	4	5	2
Abacavir	5	8	4
Abatacept	8	8	2
Abattoirs	3	6	2
Abbreviated Injury Scale	3	8	4
Abbreviations	2	2	1
Abbreviations as Topic	6	6	1
Abciximab	6	9	7
Abdomen	3	3	1
Abdomen, Acute	5	6	2
Abdominal Abscess	4	4	1
Abdominal Cavity	4	4	1
Abdominal Core	3	3	1
Abdominal Fat	5	5	1
Abdominal Injuries	2	2	1
Abdominal Muscles	4	4	1
Abdominal Neoplasms	3	3	1
Abdominal Oblique Muscles	5	5	1
Abdominal Pain	4	5	4
Abdominal Wall	4	4	2
Abdominal Wound Closure Techniques	3	3	1
Abdominoplasty	3	3	2
Abducens Nerve	5	5	1
Abducens Nerve Diseases	3	3	1
Abducens Nerve Injury	4	5	4
Abducens Nucleus	9	9	1
Abelmoschus	10	10	1
Abelson murine leukemia virus	6	6	2
Aberrant Crypt Foci	3	3	1
Aberrant Motor Behavior in Dementia	4	4	1
Aberrometry	4	4	1
Abetalipoproteinemia	7	7	4
Abies	8	8	1
Abietanes	4	7	3
Abiotrophia	5	5	2
Abiraterone Acetate	6	6	1
Ablation Techniques	2	2	1
Abnormal Involuntary Movement Scale	5	5	1
Abnormal Karyotype	4	5	3
Abnormalities, Drug-Induced	3	3	1
Abnormalities, Multiple	3	3	1
Abnormalities, Radiation-Induced	3	7	5
Abnormalities, Severe Teratoid	3	3	1
ABO Blood-Group System	5	5	2
Abomasum	3	3	1
Aborted Fetus	3	3	1
Abortifacient Agents	5	5	2
Abortifacient Agents, Nonsteroidal	6	6	2
Abortifacient Agents, Steroidal	6	6	2
Abortion Applicants	2	2	1
Abortion, Eugenic	4	4	1
Abortion, Habitual	5	5	1
Abortion, Illegal	4	4	1
Abortion, Incomplete	5	5	1
Abortion, Induced	3	3	1
Abortion, Legal	4	4	1
Abortion, Missed	5	5	1
Abortion, Septic	3	5	3
Abortion, Spontaneous	4	6	2
Abortion, Therapeutic	4	4	1
Abortion, Threatened	4	4	1
Abortion, Veterinary	2	5	2
Abreaction	4	4	1
Abrin	5	8	3
Abruptio Placentae	5	5	2
Abrus	8	8	1
Abscess	3	5	2
Abscisic Acid	5	9	5
Absenteeism	4	4	1
Absidia	5	5	1
Absinthe	4	5	2
Absorbable Implants	3	3	1
Absorbent Pads	3	3	1
Absorptiometry, Photon	5	5	2
Absorption	2	4	5
Absorption, Physicochemical	3	3	2
Absorption, Physiological	3	5	3
Absorption, Radiation	3	4	3
Abstracting and Indexing	5	5	1
Abstracts	2	2	2
Abuse-Deterrent Formulations	3	6	6
AC133 Antigen	5	5	3
Acacia	8	8	1
Academia	2	2	1
Academic Dissertation	2	2	1
Academic Dissertations as Topic	5	5	1
Academic Failure	4	4	1
Academic Medical Centers	3	3	1
Academic Performance	3	3	1
Academic Success	4	4	1
Academies and Institutes	3	3	1
Acalculous Cholecystitis	5	5	1
Acalypha	10	10	1
Acamprosate	7	7	2
Acanthaceae	8	8	1
Acanthamoeba	6	6	1
Acanthamoeba castellanii	7	7	1
Acanthamoeba Keratitis	4	5	4
Acanthocephala	5	5	1
Acanthocheilonema	9	9	1
Acanthocheilonemiasis	8	8	1
Acanthocytes	5	6	3
Acantholysis	3	4	2
Acanthoma	4	5	2
Acanthopodina	5	5	1
Acanthosis Nigricans	6	6	1
Acarbose	5	5	1
Acari	6	6	1
Acaricides	4	5	2
Acaridae	8	8	1
Acatalasia	5	5	2
Accelerated Idioventricular Rhythm	6	6	3
Acceleration	3	3	1
Accelerometry	2	2	1
Acceptance and Commitment Therapy	5	5	1
Access to Healthy Foods	6	6	2
Access to Information	3	7	3
Access to Primary Care	4	5	2
Accessory Atrioventricular Bundle	3	3	1
Accessory Nerve	5	5	1
Accessory Nerve Diseases	3	3	1
Accessory Nerve Injuries	4	5	4
Accident Prevention	4	4	1
Accident Proneness	3	3	1
Accidental Falls	4	4	1
Accidental Injuries	2	2	1
Accidents	3	3	1
Accidents, Aviation	4	4	1
Accidents, Home	4	4	1
Accidents, Occupational	4	4	1
Accidents, Traffic	4	4	1
Acclimatization	3	4	2
Accommodation, Ocular	2	2	1
Account Book	2	2	1
Accountable Care Organizations	4	4	1
Accounting	4	4	1
Accounts Payable and Receivable	5	5	1
Accreditation	4	4	2
Acculturation	5	5	2
Acebutolol	6	6	3
Acecainide	6	9	4
Acedapsone	5	5	1
Acellular Dermis	4	4	1
Acenaphthenes	4	7	2
Acenocoumarol	7	7	2
Acepromazine	4	5	2
Acer	8	8	1
Aceraceae	9	9	1
Acetabularia	4	4	1
Acetabuloplasty	3	3	2
Acetabulum	6	6	1
Acetaldehyde	3	3	1
Acetaldehyde Dehydrogenase Inhibitors	5	5	1
Acetals	3	3	1
Acetamides	3	5	2
Acetaminophen	5	6	2
Acetanilides	4	5	2
Acetate Kinase	6	6	1
Acetate-CoA Ligase	6	6	1
Acetates	4	4	2
Acetazolamide	5	6	2
Acetic Acid	5	5	2
Acetic Anhydrides	3	5	2
Acetivibrio thermocellus	4	5	4
Acetoacetates	4	4	2
Acetoanaerobium sticklandii	3	5	4
Acetobacter	6	6	2
Acetobacteraceae	5	5	2
Acetobacterium	6	6	1
Acetogenins	3	5	6
Acetohexamide	5	7	5
Acetoin	4	4	1
Acetoin Dehydrogenase	6	6	1
Acetolactate Synthase	4	5	2
Acetone	3	3	1
Acetonitriles	3	3	1
Acetophenones	3	3	1
Acetoxyacetylaminofluorene	5	8	4
Acetrizoic Acid	7	9	4
Acetyl Coenzyme A	5	9	4
Acetyl-CoA C-Acetyltransferase	6	6	1
Acetyl-CoA C-Acyltransferase	5	5	1
Acetyl-CoA Carboxylase	4	5	2
Acetyl-CoA Hydrolase	6	6	1
Acetylation	3	4	3
Acetylcarnitine	6	6	1
Acetylcholine	4	4	1
Acetylcholine Release Inhibitors	5	6	3
Acetylcholinesterase	7	7	1
Acetylcysteine	5	5	2
Acetyldigitoxins	6	9	3
Acetyldigoxins	6	9	3
Acetylene	5	5	1
Acetylesterase	6	6	1
Acetylgalactosamine	5	5	1
Acetylglucosamine	5	5	1
Acetylglucosaminidase	7	7	1
Acetylmuramyl-Alanyl-Isoglutamine	4	4	3
Acetylserotonin O-Methyltransferase	6	6	1
Acetylthiocholine	5	7	3
Acetyltransferases	5	5	1
Achaete-Scute Complex Genome Region	6	6	1
Achievement	3	4	2
Achillea	8	8	1
Achilles Tendon	3	3	1
Achlorhydria	4	4	2
Achlya	4	4	1
Acholeplasma	5	5	1
Acholeplasma laidlawii	6	6	1
Acholeplasmataceae	4	4	1
Achondroplasia	4	5	3
Achromobacter	6	6	2
Achromobacter cycloclastes	7	7	2
Achromobacter denitrificans	7	7	2
Achyranthes	10	10	1
Achyrocline	8	8	1
Acid Anhydride Hydrolases	4	4	1
Acid Ceramidase	6	6	1
Acid Etching, Dental	4	4	1
Acid Phosphatase	6	6	1
Acid Rain	2	7	7
Acid Sensing Ion Channel Blockers	6	6	1
Acid Sensing Ion Channels	4	7	4
Acid-Base Equilibrium	2	3	5
Acid-Base Imbalance	3	3	1
Acidaminococcus	3	5	2
Acidianus	5	5	1
Acidic Glycosphingolipids	4	5	3
Acidiphilium	6	6	2
Acidithiobacillus	4	5	2
Acidithiobacillus thiooxidans	5	6	2
Acidobacteria	2	4	2
Acidosis	4	4	1
Acidosis, Lactic	5	5	1
Acidosis, Renal Tubular	4	7	5
Acidosis, Respiratory	4	5	2
Acids	2	2	1
Acids, Acyclic	3	3	1
Acids, Aldehydic	3	3	1
Acids, Carbocyclic	3	3	1
Acids, Heterocyclic	2	2	1
Acids, Noncarboxylic	3	3	1
Acidulated Phosphate Fluoride	3	7	6
Acinar Cells	2	2	1
Acinetobacter	5	6	2
Acinetobacter baumannii	6	7	2
Acinetobacter calcoaceticus	6	7	2
Acinetobacter Infections	6	6	1
Acinonyx	10	10	1
Acitretin	5	8	3
Aclarubicin	5	8	3
Acne Conglobata	5	5	2
Acne Keloid	4	6	4
Acne Vulgaris	4	4	2
Acneiform Eruptions	3	3	1
Aconitate Hydratase	6	6	1
Aconitic Acid	5	5	1
Aconitine	4	6	2
Aconitum	9	9	1
Acoraceae	7	7	1
Acorus	8	8	1
Acoustic Impedance Tests	5	5	1
Acoustic Maculae	5	6	2
Acoustic Stimulation	2	4	3
Acoustics	3	3	1
Acquired Hyperostosis Syndrome	5	5	1
Acquired Immunodeficiency Syndrome	4	7	8
Acremonium	4	4	1
Acridine Orange	6	6	1
Acridines	4	4	1
Acridones	3	5	2
Acriflavine	6	6	1
Acro-Osteolysis	4	5	2
Acrocallosal Syndrome	4	5	2
Acrocephalosyndactylia	5	7	10
Acrodermatitis	4	4	3
Acrodynia	4	6	3
Acrolein	3	3	1
Acromegaly	4	7	3
Acromioclavicular Joint	4	4	1
Acromion	6	6	1
Acronine	4	6	2
Acrosin	7	7	2
Acrosome	5	9	3
Acrosome Reaction	6	6	1
Acrospiroma	6	6	2
Acrylamide	4	6	2
Acrylamides	3	5	2
Acrylates	4	4	1
Acrylic Resins	5	7	3
Acrylonitrile	3	3	1
Actaea	9	9	1
ACTH Syndrome, Ectopic	4	4	1
ACTH-Secreting Pituitary Adenoma	4	7	5
Actigraphy	3	4	2
Actihaemyl	3	3	1
Actin Capping Proteins	5	5	2
Actin Cytoskeleton	7	7	1
Actin Depolymerizing Factors	5	5	2
Actin-Related Protein 2	6	6	2
Actin-Related Protein 2-3 Complex	5	5	2
Actin-Related Protein 3	6	6	2
Acting Out	3	3	1
Actinidia	9	9	1
Actinidiaceae	8	8	1
Actinin	5	5	3
Actinium	4	6	5
Actinobacillosis	2	7	2
Actinobacillus	4	5	2
Actinobacillus equuli	5	6	2
Actinobacillus Infections	6	6	1
Actinobacillus pleuropneumoniae	5	6	2
Actinobacillus seminis	5	6	2
Actinobacillus suis	5	6	2
Actinobacteria	3	6	2
Actinoid Series Elements	3	5	3
Actinomadura	5	5	1
Actinomyces	6	8	2
Actinomyces viscosus	7	9	2
Actinomycetaceae	5	7	2
Actinomycetales	4	4	1
Actinomycetales Infections	5	5	1
Actinomycosis	6	6	1
Actinomycosis, Cervicofacial	4	7	4
Actinoplanes	5	6	4
Actins	5	5	3
Action Potentials	3	4	3
Action Spectrum	5	5	1
Activated Protein C Resistance	4	5	4
Activated-Leukocyte Cell Adhesion Molecule	5	8	5
Activating Transcription Factor 1	6	6	2
Activating Transcription Factor 2	6	6	2
Activating Transcription Factor 3	6	6	2
Activating Transcription Factor 4	6	6	2
Activating Transcription Factor 6	4	6	4
Activating Transcription Factors	5	5	2
Activation Analysis	3	3	1
Activation, Metabolic	3	5	3
Activator Appliances	5	5	2
Active Transport, Cell Nucleus	4	4	2
Activin Receptors	5	8	3
Activin Receptors, Type I	6	9	3
Activin Receptors, Type II	6	9	3
Activins	4	4	5
Activities of Daily Living	2	6	4
Activity Cycles	5	5	1
Actomyosin	5	5	1
Actuarial Analysis	4	5	3
Acupressure	5	6	3
Acupuncture	2	2	1
Acupuncture Analgesia	3	4	2
Acupuncture Points	5	5	1
Acupuncture Therapy	3	3	1
Acupuncture, Ear	4	4	2
Acute Aortic Syndrome	4	4	1
Acute Care Surgery	4	4	1
Acute Chest Syndrome	3	7	6
Acute Coronary Syndrome	4	4	2
Acute Disease	4	4	1
Acute Febrile Encephalopathy	4	4	1
Acute Generalized Exanthematous Pustulosis	4	5	3
Acute Kidney Injury	5	7	3
Acute Lung Injury	4	4	1
Acute Pain	5	5	3
Acute Radiation Syndrome	3	7	4
Acute Retroviral Syndrome	4	7	7
Acute-On-Chronic Liver Failure	6	6	1
Acute-Phase Proteins	4	4	1
Acute-Phase Reaction	4	4	1
Acyclic Monoterpenes	5	5	1
Acyclovir	8	8	1
Acyl Carrier Protein	4	4	1
Acyl Coenzyme A	4	8	4
Acyl-Butyrolactones	3	3	1
Acyl-Carrier Protein S-Acetyltransferase	6	6	1
Acyl-Carrier Protein S-Malonyltransferase	5	5	1
Acyl-CoA Dehydrogenase	4	6	2
Acyl-CoA Dehydrogenase, Long-Chain	4	6	2
Acyl-CoA Dehydrogenases	5	5	1
Acyl-CoA Oxidase	4	6	2
Acylation	2	3	3
Acylphosphatase	5	5	1
Acyltransferases	4	4	1
Ad26COVS1	6	6	1
Adalimumab	9	9	3
ADAM Proteins	4	7	3
ADAM10 Protein	5	8	3
ADAM12 Protein	5	8	3
ADAM17 Protein	5	8	3
Adamantane	5	6	2
Adamantinoma	4	4	2
Adams-Stokes Syndrome	5	5	3
ADAMTS Proteins	5	8	4
ADAMTS1 Protein	6	9	4
ADAMTS13 Protein	6	9	4
ADAMTS4 Protein	6	9	4
ADAMTS5 Protein	6	9	4
ADAMTS7 Protein	6	9	4
ADAMTS9 Protein	6	9	4
Adansonia	10	10	1
Adapalene	4	10	6
Adapalene, Benzoyl Peroxide Drug Combination	3	8	5
Adaptation, Biological	2	2	1
Adaptation, Ocular	2	2	1
Adaptation, Physiological	2	3	2
Adaptation, Psychological	2	2	1
Adaptive Algorithms	4	5	3
Adaptive Clinical Trial	4	4	1
Adaptive Clinical Trials as Topic	6	7	3
Adaptive Immunity	3	3	1
Adaptor Protein Complex 1	6	6	1
Adaptor Protein Complex 2	6	6	1
Adaptor Protein Complex 3	6	6	1
Adaptor Protein Complex 4	6	6	1
Adaptor Protein Complex alpha Subunits	7	7	1
Adaptor Protein Complex beta Subunits	7	7	1
Adaptor Protein Complex delta Subunits	7	7	1
Adaptor Protein Complex gamma Subunits	7	7	1
Adaptor Protein Complex mu Subunits	7	7	1
Adaptor Protein Complex sigma Subunits	7	7	1
Adaptor Protein Complex Subunits	6	6	1
Adaptor Proteins, Signal Transducing	4	4	3
Adaptor Proteins, Vesicular Transport	5	5	1
Addiction Medicine	3	3	1
Addison Disease	3	4	2
Address	2	2	1
Adducins	4	5	3
Adenine	5	5	1
Adenine Nucleotide Translocator 1	6	8	7
Adenine Nucleotide Translocator 2	6	8	7
Adenine Nucleotide Translocator 3	6	8	7
Adenine Nucleotides	4	6	3
Adenine Phosphoribosyltransferase	6	6	1
Adenocarcinoma	5	5	1
Adenocarcinoma in Situ	3	6	3
Adenocarcinoma of Lung	6	6	2
Adenocarcinoma, Bronchiolo-Alveolar	7	7	2
Adenocarcinoma, Clear Cell	6	6	1
Adenocarcinoma, Follicular	6	6	1
Adenocarcinoma, Mucinous	5	6	2
Adenocarcinoma, Papillary	6	6	1
Adenocarcinoma, Scirrhous	6	6	1
Adenocarcinoma, Sebaceous	5	6	2
Adenofibroma	5	7	2
Adenoidectomy	3	3	1
Adenoids	3	5	4
Adenolymphoma	4	4	1
Adenoma	4	4	1
Adenoma, Acidophil	5	6	3
Adenoma, Basophil	5	6	3
Adenoma, Bile Duct	5	5	1
Adenoma, Chromophobe	5	6	3
Adenoma, Islet Cell	4	5	6
Adenoma, Liver Cell	4	5	4
Adenoma, Oxyphilic	5	5	1
Adenoma, Pleomorphic	4	5	2
Adenoma, Sweat Gland	5	5	2
Adenoma, Villous	5	5	1
Adenomatoid Tumor	5	5	2
Adenomatosis, Pulmonary	5	5	1
Adenomatous Polyposis Coli	3	7	9
Adenomatous Polyposis Coli Protein	4	5	4
Adenomatous Polyps	5	5	1
Adenomyoepithelioma	4	4	1
Adenomyoma	4	4	1
Adenomyosis	5	6	2
Adenophorea	6	6	1
Adenophorea Infections	5	5	1
Adenosarcoma	4	5	2
Adenosine	4	6	3
Adenosine A1 Receptor Agonists	8	8	2
Adenosine A1 Receptor Antagonists	8	8	2
Adenosine A2 Receptor Agonists	8	8	2
Adenosine A2 Receptor Antagonists	8	8	2
Adenosine A3 Receptor Agonists	8	8	2
Adenosine A3 Receptor Antagonists	8	8	2
Adenosine Deaminase	6	6	1
Adenosine Deaminase Inhibitors	5	5	1
Adenosine Diphosphate	5	7	3
Adenosine Diphosphate Glucose	6	9	5
Adenosine Diphosphate Ribose	6	9	5
Adenosine Diphosphate Sugars	5	8	5
Adenosine Kinase	6	6	1
Adenosine Monophosphate	5	7	3
Adenosine Phosphosulfate	6	8	3
Adenosine Triphosphatases	5	5	1
Adenosine Triphosphate	5	7	3
Adenosine-5'-(N-ethylcarboxamide)	5	7	3
Adenosylhomocysteinase	4	4	1
Adenosylmethionine Decarboxylase	6	6	1
Adenoviridae	3	3	1
Adenoviridae Infections	4	4	1
Adenovirus E1 Proteins	4	7	5
Adenovirus E1A Proteins	4	8	7
Adenovirus E1B Proteins	4	8	7
Adenovirus E2 Proteins	4	7	5
Adenovirus E3 Proteins	5	7	4
Adenovirus E4 Proteins	5	7	4
Adenovirus Early Proteins	4	6	4
Adenovirus Infections, Human	5	5	1
Adenovirus Vaccines	5	5	1
Adenoviruses, Canine	3	5	2
Adenoviruses, Human	5	5	1
Adenoviruses, Porcine	5	5	1
Adenoviruses, Simian	5	5	1
Adenylate Cyclase Toxin	5	6	3
Adenylate Kinase	6	6	1
Adenylosuccinate Lyase	6	6	1
Adenylosuccinate Synthase	5	5	1
Adenylyl Cyclase Inhibitors	5	5	1
Adenylyl Cyclases	4	5	2
Adenylyl Imidodiphosphate	6	8	3
Adherence Interventions	4	4	1
Adherens Junctions	6	6	1
Adhesins, Bacterial	4	5	4
Adhesins, Escherichia coli	5	6	5
Adhesiveness	3	3	1
Adhesives	3	3	2
Adiantum	8	8	1
Adie Syndrome	3	5	4
Adipates	5	5	1
Adipocytes	3	3	1
Adipocytes, Beige	4	4	1
Adipocytes, Brown	4	4	1
Adipocytes, White	4	4	1
Adipogenesis	3	3	1
Adipokines	3	4	5
Adiponectin	4	5	5
Adipose Tissue	3	3	1
Adipose Tissue, Beige	4	4	1
Adipose Tissue, Brown	4	4	1
Adipose Tissue, White	4	4	1
Adiposis Dolorosa	4	5	2
Adiposity	4	7	4
Adjustment Disorders	3	3	1
Adjuvants, Anesthesia	5	5	1
Adjuvants, Immunologic	5	5	1
Adjuvants, Pharmaceutic	3	4	2
Adjuvants, Vaccine	4	6	3
Administration, Buccal	5	5	2
Administration, Cutaneous	5	5	1
Administration, Inhalation	4	4	1
Administration, Intranasal	6	6	1
Administration, Intravaginal	5	5	1
Administration, Intravenous	4	4	1
Administration, Intravesical	5	5	1
Administration, Metronomic	4	4	1
Administration, Mucosal	5	5	1
Administration, Ophthalmic	5	5	1
Administration, Oral	4	4	1
Administration, Rectal	6	6	1
Administration, Sublingual	5	5	1
Administration, Topical	4	4	1
Administrative Claims, Healthcare	5	5	1
Administrative Personnel	3	3	1
Admitting Department, Hospital	6	6	2
Adnexa Uteri	4	4	1
Adnexal Diseases	4	5	2
Ado-Trastuzumab Emtansine	5	10	5
Adolescent	3	3	1
Adolescent Behavior	3	3	1
Adolescent Development	3	4	2
Adolescent Fathers	4	7	3
Adolescent Health	3	3	1
Adolescent Health Services	3	3	1
Adolescent Medicine	3	3	1
Adolescent Mothers	4	7	3
Adolescent Nutritional Physiological Phenomena	5	5	1
Adolescent Psychiatry	4	4	2
Adolescent, Hospitalized	3	3	1
Adolescent, Institutionalized	3	3	1
Adonis	9	9	1
Adoption	5	5	1
Adoptive Transfer	5	7	2
Adosterol	4	6	2
Adoxaceae	8	8	1
ADP Ribose Transferases	6	6	1
ADP-Ribose 1''-Phosphate Phosphatases	6	6	1
